228,NRT,Hotel Metro politan,139.7079847,35.7283502
228,HND,Hotel Metro politan,139.7079847,35.7283502
228,HND,The Peninsula Tokyo,139.7604704,35.6747591
228,NRT,The Peninsula Tokyo,139.7604704,35.6747591
228,NRT,Narita Gateway Hotel,140.3494013,35.7813977
228,HND,Narita Gateway Hotel,140.3494013,35.7813977
228,HND,Haneda Excel Hotel Tokyu,139.78684,35.553386
228,NRT,Haneda Excel Hotel Tokyu,139.78684,35.553386
219,KIX,Osaka Marriott Miyako Hotel,135.5134796,34.6458953
219,KIX,Best Western Hotel Fino Osaka,135.5056489,34.6745453
219,KIX,Hotel Nikko Kansai Airport,135.2424079,34.4364261
219,KIX,大阪大学,135.5239,34.818703
219,KIX,RIHGA Royal Hotel Osaka,135.4867603,34.6897555
219,ITM,Osaka Marriott Miyako Hotel,135.5134796,34.6458953
219,ITM,Best Western Hotel Fino Osaka,135.2424079,34.4364261
219,ITM,Hotel Nikko Kansai Airport,135.2424079,34.4364261
219,ITM,大阪大学,135.5239,34.818703
219,ITM,RIHGA Royal Hotel Osaka,135.4867603,34.6897555
501,SYD,Four Seasons Hotel Sydney,151.2076072,-33.8615479
501,SYD,ibis Sydney Airport Hotel,151.1868164,-33.9281446
501,SYD,Taronga Zoo,151.241913,-33.8430217
501,SYD,Macquarie University Station,151.1185824,-33.7775092
501,SYD,Northshore Tailors,151.0999444,-33.7050143
501,SYD,Coles Express Berowra,151.1475815,-33.6281827
207,OKA,Hotel Mercure Okinawa Naha,127.679079,26.205548
207,OKA,Araha Beach,127.758551,26.304431
207,OKA,Kaneku Seaside Park,127.7416281,26.3540695
207,OKA,残波岬,127.712136,26.440704
207,OKA,Nabee Beach,127.8578309,26.5012584
207,OKA,和泉食堂,127.849552,26.4480545
73,SIN,The Fullerton Hotel Singapore,103.8530671,1.2863532
73,SIN,SingaporeZoo,103.793023,1.4043485
73,SIN,南洋理工大学,103.68315,1.3483409
73,SIN,Wild Wild Wet Waterpark,103.9545049,1.3778739
73,SIN,Tampines Regional Library,103.94456,1.356332
