京都阿尔蒙特旅馆,eww1DsaXgRE,http://www.hokke.co.jp
冲绳大和酒店,Lj7rYP8JQrs,http://www.daiwaroynet.jp/okinawa-kenchomae/
东京中心酒店,4p_PN1H4gIQ,http://www.centerhotel.co.jp/tokyo/index.php
池袋东急住宿酒店,Fd6gpHsar3s,http://www.tokyustay.co.jp/hotel/IKE/
富士豪华度假区（飞特渡假俱乐部）,alFslZfu6E4,http://www.fuji-premium-resort.jp/en/index.htm
富士吉田庭院路线酒店,89bOAUTG2aQ,http://www.route-inn.co.jp/search/hotel/index_hotel_id_9
富士吉田城市酒店,en3pz-kj5Yg,http://www.fch.co.jp/category/1307581.html
Hotel Route-Inn 河口湖酒店,EbV7gBKe5tw,http://www.route-inn.co.jp/search/hotel/index_hotel_id_36
葵体验型民宿,iizM3JsKRss,http://www.geocities.jp/oomaaoi/
糠屋民宿 Minshuku Nukaya ,PDjU4fsXIA8,http://www.mfi.or.jp/nukaya/index.htm
宫城 崎野屋,rnvcT3n5uYY,http://navimiyagi.com/0226-27-2468/
丸庆民宿 Shojiko,sU53_Vmp-1c,http://shojiko.net/
十和田湖畔民宿 和み,PCsMVa91Z_I,http://www.kohannoyado-nagomi.com/
民宿原之家,Dn6dEDc4hds,http://www.mfi.or.jp/haranoya/
藏王温泉民宿 Lodge Chitose-Ya,T_vhSq7gxuA,http://www.lodge-chitoseya.com/
富士见馆民宿,oPk5cpogD6c,http://yamanakako.info/sisetsu.php?id=60
一富士荘民宿,ZPGddkEXd6M,http://loco.yahoo.co.jp/place/g-tyWEe5HI-ww/
五色沼入口民宿 Critter House,Yb9za09JDX0,http://critter.jp/
町家客栈三轮,xQ95oOY3-UE,http://guesthouse-miwa.com/
中禅寺湖民宿 おかじん,pkqLR2Yoy_w,""
奈良癒しの宿山代屋,sRiEb0MuyWU,http://www.nara-oyado.com/
 农家民宿结,xZ24ICA9rKE,http://yuinoyasaibatake.moo.jp/contact.html
山庄山岗民宿,3GQGP86SJUE,""
群马 新潟屋,uG5rIrVytnE,http://kusatu.com/niigataya/
足摺岬光民宿,Xu1LAaCKVZo,""
咕嘟咕嘟屋,C799ehVv2RA,""
鳴門 灯台民宿,kA4CiAAUOKU,http://minshuku-todai.jimdo.com/
琵琶湖畔民宿 清见庄,11DUjY4_DOQ,http://www.kiyomisou.com/
富良野BJ俱乐部 B.J.club Furano,UNM7-azlfso,http://bjclub.info/rooms/
琦玉县 川波民宿,wA2A_lm9wsY,http://www.hanno.jp/minsyuku-kawanami/
琦玉县 川波民宿,pK9d2zh4gKM,http://www.hanno.jp/minsyuku-kawanami/
溪流民宿 Seseragi,JXxcJnr5eLA,""
膳宿公寓POKROK,ypJ0VJFu7Co,http://www.biei.com/pokrok/index.shtml
千叶县 记忆民宿,z6RdSTEic4A,http://www.maruhei.jp/
绫之餐桌民宿,q1jQmMsj1k0,http://www17.ocn.ne.jp/~ayas/
奥汤之乡 秘汤民宿,inhpn1rErkw,http://www.okuyunosato.com/04.htm
阿苏山麓 Asogen民宿 ,MoZmnPdtUiA,http://www.asogen.com/お部屋のご紹介/
野沢温泉民宿,hx835xCgsdE,http://www.resortin-abe.jp/
民宿海之幸,1Sw5pNEvFQc,""
汤泽 玉城屋,CIa7zuJw0K4,http://www.yuzawa-tamakiya.com/
WAGAYA 我家民宿,0g8giW3vsT8,http://wagaya.info/
民宿国松 kunimatsu,R5PYo0rOQdM,http://www.suzu.co.jp/kunimatsu/
中岛民宿 nakajima,O5ABJNHlGv4,http://www.8eihomaru.com/
浜道乐 民宿,db1L1D82Oh0,http://hamadouraku.com/
