24Guesthouse Edae,seoul,24guesthouse-edae,http://www.travelnote.com.cn/seoul/hotel/24guesthouse-edae
24Guesthouse(东大门店),seoul,24guesthouse-dongdaemun,http://www.travelnote.com.cn/seoul/hotel/24guesthouse-dongdaemun
24Guesthouse（清溪川店）,seoul,24guesthouse-cheonggye-stream,http://www.travelnote.com.cn/seoul/hotel/24guesthouse-cheonggye-stream
2nd Casa(原首尔明洞碧姿酒店),seoul,biz,http://www.travelnote.com.cn/seoul/hotel/biz
2u青年旅社,seoul,two-u,http://www.travelnote.com.cn/seoul/hotel/two-u
ABC背包客栈旅店,seoul,abc_guesthouse,http://www.travelnote.com.cn/seoul/hotel/abc_guesthouse
AT Home酒店,seoul,athome,http://www.travelnote.com.cn/seoul/hotel/athome
Abata Hotel,korea,abata_hotel,http://www.travelnote.com.cn/korea/hotel/abata_hotel
Amiga In Seoul,seoul,amiga_in_seoul,http://www.travelnote.com.cn/seoul/hotel/amiga_in_seoul
Aroha背包这站,seoul,aroha-guesthouse,http://www.travelnote.com.cn/seoul/hotel/aroha-guesthouse
Aropa酒店,seoul,aropa,http://www.travelnote.com.cn/seoul/hotel/aropa
Artnouveau City Seocho,seoul,artnouveau-city-seocho,http://www.travelnote.com.cn/seoul/hotel/artnouveau-city-seocho
Atti酒店,seoul,hotelatti,http://www.travelnote.com.cn/seoul/hotel/hotelatti
Aventree钟路酒店,seoul,aventree,http://www.travelnote.com.cn/seoul/hotel/aventree
BENIKEA水源酒店,korea,suwonjoahotel,http://www.travelnote.com.cn/korea/hotel/suwonjoahotel
BEST WESTERN UL釜山酒店,busan,bestwestern_ul,http://www.travelnote.com.cn/busan/hotel/bestwestern_ul
BONBON酒店,seoul,backpackersmyeongdong,http://www.travelnote.com.cn/seoul/hotel/backpackersmyeongdong
Baiton酒店,seoul,baitonhotel,http://www.travelnote.com.cn/seoul/hotel/baitonhotel
Bali Tourist Hotel,seoul,balitouristhotel,http://www.travelnote.com.cn/seoul/hotel/balitouristhotel
Beige酒店,seoul,beige,http://www.travelnote.com.cn/seoul/hotel/beige
Bellagio Tourist Hotel,korea,bellagio,http://www.travelnote.com.cn/korea/hotel/bellagio
